Model,Accuracy,Time_seconds
RandomForest,0.7207792207792207,0.0671849250793457
LogisticReg,0.7532467532467533,0.005613088607788086
DecisionTree,0.7467532467532467,0.005545854568481445
SVM,0.7337662337662337,0.007752895355224609
KNN,0.6948051948051948,0.006017208099365234
