Model,Accuracy,Time_seconds
RandomForest,0.528125,13.444589853286743
LogisticReg,0.5625,1.886003017425537
DecisionTree,0.55,1.0140349864959717
SVM,0.60625,5.309226036071777
KNN,0.678125,1.4542288780212402
