Model,Accuracy,Time_seconds
RandomForest,0.540625,23.985028982162476
LogisticReg,0.571875,12.214189767837524
DecisionTree,0.525,10.396645069122314
SVM,0.603125,16.158185958862305
KNN,0.678125,11.506979942321777
