Model,Accuracy,Time_seconds
RandomForest,0.540625,28.54703402519226
LogisticReg,0.5625,15.804663181304932
DecisionTree,0.55,14.18966293334961
SVM,0.60625,24.862920999526978
KNN,0.678125,14.490975141525269
