Model,Accuracy,Time_seconds
RandomForest,0.540625,17.900171041488647
LogisticReg,0.571875,2.565187931060791
DecisionTree,0.55,1.183061122894287
SVM,0.60625,5.802490949630737
KNN,0.678125,1.4439618587493896
