Model,Accuracy,Time_seconds
RandomForest,0.534375,42.04262709617615
LogisticReg,0.5625,18.921690225601196
DecisionTree,0.525,42.68523287773132
SVM,0.603125,23.136886835098267
KNN,0.678125,23.171889781951904
