Model,Accuracy,Time_seconds
RandomForest,1.0,27.93360686302185
LogisticReg,1.0,13.504299879074097
DecisionTree,1.0,15.92902398109436
SVM,0.9666666666666667,20.97551202774048
KNN,1.0,17.594960927963257
